,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,moods
427,Prayer Of The Refugee,Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,Rise Against,3wTyLh0vhP3dN5yv0Mti17,2012-01-01,0,199386,0.198,0.00131,0.977,4.620000000000001e-05,0.23,0.351,-3.499,0.173,195.795,3,4,Energetic,Energetic
443,Reinventing Your Exit,They're Only Chasing Safety,Underoath,591vJuuep0gfPhx9p8WPD5,2004-01-01,57,262573,0.45,0.000124,0.978,7.14e-06,0.361,0.268,-4.198,0.0637,155.014,9,4,Energetic,Energetic
446,Renegades Of Funk,Renegades,Rage Against The Machine,5YBVDvTSSSiqv7KZDeUlXA,2000-12-05,66,274160,0.6509999999999999,0.00184,0.908,0.000579,0.384,0.769,-4.019,0.0577,123.851,2,4,Energetic,Energetic
447,Rescue Me,Rescue Me,DubVision,7DP18u679fMurjsUxuxMHu,2019-06-14,57,187382,0.494,0.069,0.7390000000000001,0.000368,0.0664,0.235,-4.61,0.0427,128.007,6,4,Energetic,Energetic
450,Ring The Alarm - Stadiumx Remix,Ring The Alarm (Remixes),Nicky Romero,3LmiKN6q3OwFD3sV8rhkk2,2019-04-19,45,173333,0.625,0.00032,0.994,0.0461,0.767,0.35,-1.689,0.0501,125.032,1,4,Energetic,Energetic
451,Rise (ft. Matluck) - Thomas Gold Remix,Rise (ft. Matluck) [Thomas Gold Remix],Nicky Romero,24fghf9YPlSHoWKNHign8p,2018-10-10,0,225937,0.501,0.0071,0.784,0.000257,0.155,0.216,-4.292,0.0417,128.05200000000002,7,4,Energetic,Energetic
457,Rusted From the Rain,Billy Talent III,Billy Talent,0tzWCL2uhb2xQDWgG259nU,2009-09-22,47,254613,0.431,0.000481,0.858,7.65e-06,0.385,0.616,-3.533,0.0306,174.979,7,4,Energetic,Energetic
461,Sahara Love - Seven Lions Remix,Sahara Love,Above & Beyond,6KjTXwntv8paBCL3El9TnV,2019-03-08,52,322892,0.275,0.0418,0.659,4.15e-05,0.079,0.149,-5.631,0.039,144.908,6,4,Energetic,Energetic
462,Same Direction,The Reason,Hoobastank,7p5HBV5kqLgw0vK0lQ7eXM,2003-01-01,0,195293,0.401,0.00492,0.988,0.0,0.4,0.514,-3.3080000000000003,0.0916,169.024,2,4,Energetic,Energetic
465,Savior,Appeal To Reason,Rise Against,3asFGFY3uLjMDmML1p0tYm,2008-01-01,70,242280,0.339,0.0015,0.931,0.0001419999999999,0.425,0.467,-3.425,0.062,112.548,5,4,Energetic,Energetic
466,Say Days Ago,The Used,The Used,0fcGdkaMVaJtPuYLB6bXRx,2002-06-25,40,197866,0.362,0.00022,0.979,0.0,0.459,0.195,-4.262,0.205,89.431,4,4,Energetic,Energetic
475,Shimmer,The Best of Fuel,Fuel,6DzbmjkVZpz1mrDobAoJI8,2005,57,213948,0.263,0.00192,0.784,0.0,0.15,0.385,-6.513999999999999,0.054,114.671,7,4,Energetic,Energetic
476,Shine,Shine,Manse,6YbVddGFPcfOVJrxhUusbV,2019-08-02,54,163124,0.428,0.0259,0.873,2.64e-05,0.6679999999999999,0.285,-3.499,0.0566,127.95,10,4,Happy,Energetic
489,Smooth Criminal,Anthology,Alien Ant Farm,2T3blUc9Jnui2a0ZhuNOag,2001-01-01,0,209266,0.653,0.00287,0.966,0.0026,0.143,0.8740000000000001,-4.2360000000000015,0.0598,126.921,9,4,Energetic,Energetic
493,Somebody - Josef Bamba Remix Radio Edit,Somebody (Josef Bamba Remixes),Oliver Ingrosso,5riuN21I50r717iOmCJ7Kr,2017-07-21,42,227404,0.67,0.00162,0.88,0.0,0.261,0.312,-6.419,0.044,121.004,4,4,Happy,Energetic
497,Someone New,Someone New,Thomas Gold,2GkPTpFLY0NG8jrAHPoSnn,2019-06-14,58,182812,0.655,0.00297,0.794,1.34e-05,0.1,0.389,-5.29,0.0765,127.957,6,4,Happy,Energetic
501,South Beach,South Beach,Vicetone,4GQVsXO7jkxg43UmAd1Tbb,2018-10-12,54,201951,0.501,0.0303,0.887,2.64e-05,0.114,0.336,-3.941,0.0424,123.052,1,4,Energetic,Energetic
505,Stay Here,Stay Here,Olaars & Will Philips,69vYa2LVWv1TXvNIVNlJA1,2019-07-12,52,176129,0.4320000000000001,0.0149,0.8390000000000001,0.0,0.362,0.269,-3.901,0.0425,123.987,6,4,Energetic,Energetic
512,Story Of A Violin,Story Of A Violin,Sandro Silva,3JjPOBCCKmvtgSsVIDqFDl,2019-06-07,52,154692,0.5479999999999999,0.0125,0.8640000000000001,0.287,0.818,0.161,-6.835,0.0881,128.196,11,4,Happy,Energetic
514,Streets,Rivals,Kensington,265poZGWCyWo6h5tq7kiA6,2014-08-08,0,185358,0.376,0.000874,0.7709999999999999,8.98e-06,0.274,0.419,-5.8,0.0422,168.15400000000002,6,4,Happy,Energetic
515,Stricken,Ten Thousand Fists,Disturbed,4VGUcTzWj0ebZ0UgI9irJL,2005-09-19,0,245109,0.404,8.51e-05,0.969,0.0114,0.268,0.29,-2.938,0.195,173.878,8,4,Energetic,Energetic
517,Stupify,The Sickness (10th Anniversary Edition),Disturbed,54cWVWqgyFukgDKQYmaKM3,2010-03-12,61,274000,0.597,0.00108,0.939,9.77e-05,0.201,0.422,-3.0010000000000003,0.0446,98.0,1,4,Energetic,Energetic
519,Suds & Soda,Worst Case Scenario,dEUS,0MaUnKwsHKRj4qjLDuBG66,1994-01-01,42,314200,0.149,8.51e-05,0.79,0.000248,0.0903,0.39,-7.93,0.052,170.28900000000004,4,4,Happy,Energetic
523,Sun In Our Eyes - Don Diablo Remix,Sun In Our Eyes (Don Diablo Remix),MØ,1Cfws8y490Zpsqsyeme6V1,2018-08-08,55,206452,0.6990000000000001,0.0589,0.861,2.64e-06,0.0794,0.315,-3.09,0.173,125.942,4,3,Happy,Energetic
526,Supersonic (feat. Christian Burns),Supersonic (feat. Christian Burns),Swanky Tunes,2d0UsAbvuAiCyR4oV6fiOq,2019-02-18,52,245783,0.34,0.00814,0.923,0.0008289999999999,0.385,0.13,-3.864,0.131,127.789,0,4,Energetic,Energetic
529,Swerve City,Koi No Yokan,Deftones,2OUR8g12h5qsGDs1v5lqvp,2012-11-09,55,164986,0.457,0.0001,0.964,0.00811,0.67,0.3720000000000001,-2.963,0.0656,111.972,10,4,Energetic,Energetic
530,Take Everything,Take Everything,Gareth Emery,2L93hpsnJ8scBHIQFZzh1b,2018-12-14,54,212238,0.506,0.0234,0.823,0.000916,0.303,0.405,-5.272,0.0424,133.954,6,4,Happy,Energetic
537,Tears Don't Fall,The Poison,Bullet For My Valentine,1kdiiFGX1Htx0aVZYaDwEJ,2006-02-14,61,348386,0.212,0.000725,0.926,4.83e-06,0.081,0.262,-3.378,0.14,162.10299999999995,7,4,Energetic,Energetic
541,Thank You for the Venom,Three Cheers for Sweet Revenge,My Chemical Romance,0BpKPyXhWsTaWkgXeOd1Sn,2004-06-08,61,221093,0.486,0.00237,0.977,0.0,0.298,0.413,-3.463,0.0603,103.501,7,4,Energetic,Energetic
551,The Funeral,The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Various Artists,4Ao5JXfOIMJGlVo8sJpjFr,2007-04-02,0,321146,0.316,0.0143,0.769,0.0,0.0928,0.118,-5.285,0.0422,122.458,0,4,Sad,Energetic
554,The Hell Song,All The Good Sh**. 14 Solid Gold Hits (2000-2008),Sum 41,2iyriVrfEXWD7YRfPqub7l,2009-01-01,37,199493,0.343,0.000135,0.956,0.00165,0.143,0.5529999999999999,-5.073,0.0739,173.325,8,4,Energetic,Energetic
555,The Hummingbird,The Hummingbird,Barry Adamson,60Rodg2E5ghUbYBrBFr0TA,2018-09-26,0,221000,0.478,2.27e-05,0.901,0.0801,0.326,0.5770000000000001,-4.9830000000000005,0.0334,94.964,9,3,Sad,Energetic
556,The Hunger,The Hunger,Bat For Lashes,7AaSbMyCeUxcGsvCmzmfEJ,2019-08-05,26,299000,0.436,0.0402,0.753,0.0204,0.148,0.399,-9.76,0.0359,89.96799999999998,4,4,Sad,Energetic
558,The King (with Dzeko),The King (with Dzeko),Dimitri Vangelis & Wyman,40UbcJWyWPqOWFvv4Dpvfc,2019-06-14,59,209493,0.655,0.0587,0.726,0.00311,0.145,0.292,-4.614,0.0324,128.001,9,4,Energetic,Energetic
563,The Safety Dance,Greatest,Men Without Hats,5O4NFbDqJ8SOfbjnIhdPDt,2013-02-11,61,164866,0.524,0.0252,0.8809999999999999,0.0,0.101,0.62,-4.479,0.0468,101.677,5,4,Happy,Energetic
567,The Wall,The Wall,Alok,0Qp1IH1EkRCNabfgzxNMUT,2019-06-28,59,159500,0.682,0.00953,0.91,0.0673,0.0732,0.536,-2.314,0.0431,122.943,11,4,Energetic,Energetic
568,There For You,There For You,Gorgon City,4Qv71lFPCObf7zol1uWCJb,2019-08-16,68,186493,0.5329999999999999,0.00529,0.8440000000000001,8.909999999999997e-05,0.0722,0.7120000000000001,-5.04,0.0302,123.971,11,4,Energetic,Energetic
581,Toxic,Rattlesnake!,A Static Lullaby,34ccBqL3xNaCzPxr0UqoEw,2008-09-09,49,200240,0.555,3.01e-05,0.98,4.38e-05,0.0661,0.37,-6.063,0.154,143.005,8,4,Energetic,Energetic
587,Tubthumping,Tubthumper,Chumbawamba,6dL46HEj2hzaSach8EFyCi,1997,0,279226,0.319,0.118,0.8809999999999999,0.0,0.364,0.625,-7.244,0.14,206.941,2,4,Happy,Energetic
590,Two Princes,Pocket Full Of Kryptonite,Spin Doctors,4ePP9So5xRzspjLFVVbj90,1991-08-27,72,256733,0.5429999999999999,0.00162,0.912,2.1e-06,0.0565,0.836,-10.71,0.0601,103.731,7,4,Happy,Energetic
592,Under A Killing Moon,The Artist In The Ambulance,Thrice,0XiivUyimrmkUyJkKiILPW,2003-01-01,41,161733,0.414,7.12e-06,0.988,0.44,0.0709,0.489,-3.703,0.0786,184.995,8,4,Energetic,Energetic
599,Up Against (Blackout),Louder Now (Deluxe),Taking Back Sunday,7dx3zyB8aQHd2LQm0u1lwS,2006-04-24,0,182533,0.5489999999999999,0.000785,0.8759999999999999,0.0,0.288,0.741,-3.589,0.0404,146.549,6,3,Energetic,Energetic
600,Uprising,The Resistance,Muse,4VqPOruhp5EdPBeR92t6lQ,2009-09-10,75,304840,0.602,0.000202,0.905,0.064,0.117,0.411,-4.046,0.0775,128.019,2,4,Energetic,Energetic
605,Vamos,Vamos,Dimitri Vangelis & Wyman,0i6KOje3rNRSNPw0vy803g,2018-02-02,42,181237,0.52,0.00209,0.975,0.213,0.148,0.254,-3.66,0.0839,128.017,2,4,Energetic,Energetic
609,Virtual Insanity - Remastered,High Times - The Singles 1992 - 2006,Jamiroquai,0dCr3qIupWh36ilLjRHi4P,2006-11-06,0,228333,0.6509999999999999,0.13,0.946,0.0,0.148,0.508,-4.717,0.101,91.911,6,4,Happy,Energetic
611,Voices,The Sickness (10th Anniversary Edition),Disturbed,47H4oc7Zkihwae7ST7F4zp,2010-03-12,54,191960,0.589,0.000116,0.983,0.00211,0.0628,0.469,-2.521,0.121,110.007,10,4,Energetic,Energetic
612,Wait For Me,Wanderlust,Steve Brian,6laq4MxNrh2ZKZGLhB7G0V,2018-12-07,52,217142,0.465,0.00987,0.7390000000000001,1.88e-06,0.373,0.0652,-7.786,0.0648,125.994,10,4,Happy,Energetic
614,Waiting For Tomorrow (feat. Mike Shinoda),BYLAW EP,Martin Garrix,27YP211Rr8RezhiFVDLFI8,2018-10-19,56,247504,0.507,0.00731,0.887,0.0,0.562,0.336,-4.084,0.141,128.015,5,4,Energetic,Energetic
618,Wash It All Away,Got Your Six (Deluxe),Five Finger Death Punch,6AKWOVOJ81OQfsgxZbJ6QN,2015-09-04,63,224906,0.485,2.08e-05,0.987,0.0,0.267,0.272,-3.1,0.0738,123.576,4,4,Energetic,Energetic
624,We Are Your Friends - Justice Vs Simian,We Are Your Friends,Simian,49ErwcBYfYRPNBdRuPvpYA,2006-01-01,62,262773,0.615,0.0104,0.97,0.384,0.178,0.507,1.342,0.119,122.993,9,4,Happy,Energetic
626,Welcome Home,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,Coheed and Cambria,42GP0xKtkolBnmqQRvSllO,2005-01-15,64,374973,0.442,0.00648,0.951,1.12e-06,0.0887,0.158,-5.27,0.11,154.004,11,4,Energetic,Energetic
637,Whiskey In The Jar,"Garage, Inc.",Metallica,77gY3WsOnEsq9JOWgBmdLj,1998-11-24,0,304893,0.511,5.36e-06,0.972,0.00101,0.19,0.532,-3.751,0.0413,132.97,10,4,Energetic,Energetic
638,White Lies,We Sound Electric,Stacy Crowne,0BvlCuNiWLE78NiZCiUxM7,2019-10-04,18,208353,0.336,0.00797,0.88,0.0,0.445,0.485,-5.675,0.0739,155.004,6,4,Energetic,Energetic
639,White Lies - Guy Arthur Remix,White Lies (The Remixes),The Him,1FoMWISq2KNqKappkrG5Yo,2018-03-16,44,210000,0.6559999999999999,0.00428,0.8959999999999999,0.000137,0.192,0.506,-4.461,0.0936,128.026,9,4,Energetic,Energetic
644,Wild Wild Son - Club Mix,Wild Wild Son (Club Mix),Armin van Buuren,2Fgo49RzWsVWKcwAksPWq8,2018-10-19,35,218200,0.526,0.00138,0.867,0.00064,0.0975,0.12,-4.332,0.0659,132.106,5,4,Energetic,Energetic
650,Without,Inertia,The Exies,4qguRyO5RJexa48AuRwkLZ,2003-01-01,19,209906,0.523,0.000357,0.95,0.0,0.0944,0.479,-4.415,0.0467,99.231,6,4,Energetic,Energetic
652,Wonderful Together (feat. Envy Monroe),Wonderful Together (feat. Envy Monroe),Blasterjaxx,3UaStdVN7y9A6ktTmkFDTk,2019-06-14,53,203076,0.591,0.0484,0.759,1.23e-06,0.108,0.235,-3.785,0.0404,130.043,5,4,Happy,Energetic
653,Wonderwall,(What's the Story) Morning Glory?,Oasis,79RUMZfMNMpqZnswovvTqv,1995-10-02,15,258906,0.412,0.00214,0.8440000000000001,0.0,0.134,0.459,-5.613,0.037,174.452,2,4,Happy,Energetic
656,Worlds Collide - Edison Cole Remix,Worlds Collide (Remixes),NERVO,3JqpIjrQfmW68YkpxXWPL4,2019-11-22,55,192413,0.631,0.0149,0.862,6.23e-05,0.103,0.438,-4.114,0.0515,145.01,8,4,Happy,Energetic
661,You Can't Rely on My Love,You Can't Rely on My Love,Mordkey,6Nl2wvFyKjiyPKrhE4Rth1,2018-05-04,52,188571,0.6859999999999999,0.0534,0.775,9.39e-06,0.44,0.454,-7.247000000000001,0.185,126.013,11,4,Happy,Energetic
664,"You're Gonna Go Far, Kid",21 Alt Rock Anthems,Various Artists,7oypoJJHZOALqQlGKpTefk,2014-07-22,0,178333,0.547,0.00485,0.877,0.0,0.247,0.611,-5.135,0.0658,126.083,9,4,Energetic,Energetic
